Gene Symbol,Description,Category,Uniprot ID,Gifts,GC Id,Relevance score, GeneCards Link
"KCNA5","Potassium Voltage-Gated Channel Subfamily A Member 5","Protein Coding","P22460","57","GC12P005043","5.86347961425781","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KCNA5"
"ACSM5","Acyl-CoA Synthetase Medium Chain Family Member 5","Protein Coding","Q6NUN0","46","GC16P104513","5.86095285415649","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACSM5"
"ACTC1","Actin Alpha Cardiac Muscle 1","Protein Coding","P68032","57","GC15M034790","5.85991668701172","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACTC1"
"IFNA1","Interferon Alpha 1","Protein Coding","P01562","51","GC09P021872","5.85825967788696","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IFNA1"
"BLVRB","Biliverdin Reductase B","Protein Coding","P30043","53","GC19M040447","5.85372304916382","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BLVRB"
"NARS1","Asparaginyl-TRNA Synthetase 1","Protein Coding","O43776","57","GC18M057601","5.85186243057251","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NARS1"
"DCAF17","DDB1 And CUL4 Associated Factor 17","Protein Coding","Q5H9S7","51","GC02P171434","5.83473777770996","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DCAF17"
"ATP11C","ATPase Phospholipid Transporting 11C","Protein Coding","Q8NB49","49","GC0XM139726","5.83437490463257","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATP11C"
"HELLS","Helicase, Lymphoid Specific","Protein Coding","Q9NRZ9","58","GC10P116226","5.82832670211792","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HELLS"
"ELAVL1","ELAV Like RNA Binding Protein 1","Protein Coding","Q15717","54","GC19M007958","5.82516574859619","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ELAVL1"
"CEBPB","CCAAT Enhancer Binding Protein Beta","Protein Coding","P17676","57","GC20P050190","5.82504224777222","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CEBPB"
"SOX3","SRY-Box Transcription Factor 3","Protein Coding","P41225","55","GC0XM140502","5.82009267807007","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SOX3"
"HYOU1","Hypoxia Up-Regulated 1","Protein Coding","Q9Y4L1","58","GC11M133869","5.81366586685181","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HYOU1"
"CUX2","Cut Like Homeobox 2","Protein Coding","O14529","52","GC12P111034","5.80381774902344","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CUX2"
"MIR148A","MicroRNA 148a","RNA Gene","","29","GC07M025950","5.79466104507446","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR148A"
"SERPINF2","Serpin Family F Member 2","Protein Coding","P08697","57","GC17P001742","5.79345226287842","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SERPINF2"
"C9orf72","C9orf72-SMCR8 Complex Subunit","Protein Coding","Q96LT7","54","GC09M029889","5.7848858833313","https://www.genecards.org/cgi-bin/carddisp.pl?gene=C9orf72"
"DLEU1","Deleted In Lymphocytic Leukemia 1","RNA Gene","O43261","36","GC13P050967","5.78467226028442","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DLEU1"
"MID1","Midline 1","Protein Coding","O15344","55","GC0XM010445","5.78260040283203","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MID1"
"TRPV1","Transient Receptor Potential Cation Channel Subfamily V Member 1","Protein Coding","Q8NER1","61","GC17M003565","5.77467155456543","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRPV1"
"ACP1","Acid Phosphatase 1","Protein Coding","P24666","55","GC02P001030","5.76280736923218","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACP1"
"ACTN1","Actinin Alpha 1","Protein Coding","P12814","62","GC14M068874","5.76117086410522","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACTN1"
"CASP1","Caspase 1","Protein Coding","P29466","61","GC11M105025","5.7588415145874","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CASP1"
"CSF3","Colony Stimulating Factor 3","Protein Coding","P09919","54","GC17P040015","5.75444555282593","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CSF3"
"TLX1NB","TLX1 Neighbor","RNA Gene","P0CAT3","32","GC10M101090","5.74800872802734","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TLX1NB"
"PROC","Protein C, Inactivator Of Coagulation Factors Va And VIIIa","Protein Coding","P04070","64","GC02P127418","5.73954582214355","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PROC"
"GSTA4","Glutathione S-Transferase Alpha 4","Protein Coding","O15217","52","GC06M052977","5.73695135116577","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GSTA4"
"HMGB1","High Mobility Group Box 1","Protein Coding","P09429","62","GC13M030456","5.73391151428223","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HMGB1"
"PGD","Phosphogluconate Dehydrogenase","Protein Coding","P52209","60","GC01P010398","5.72919797897339","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PGD"
"ERBB4","Erb-B2 Receptor Tyrosine Kinase 4","Protein Coding","Q15303","67","GC02M211375","5.7255392074585","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ERBB4"
"ACSM4","Acyl-CoA Synthetase Medium Chain Family Member 4","Protein Coding","P0C7M7","41","GC12P007304","5.72553491592407","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACSM4"
"DIO3","Iodothyronine Deiodinase 3","Protein Coding","P55073","51","GC14P118189","5.71628761291504","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DIO3"
"PKP2","Plakophilin 2","Protein Coding","Q99959","56","GC12M032790","5.7051568031311","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PKP2"
"SCN3B","Sodium Voltage-Gated Channel Beta Subunit 3","Protein Coding","Q9NY72","56","GC11M123629","5.70428609848022","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SCN3B"
"CASP8","Caspase 8","Protein Coding","Q14790","65","GC02P201233","5.70167112350464","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CASP8"
"ACSM6","Acyl-CoA Synthetase Medium Chain Family Member 6","Protein Coding","Q6P461","40","GC10P095194","5.70061874389648","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACSM6"
"SESN2","Sestrin 2","Protein Coding","P58004","51","GC01P061357","5.69522190093994","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SESN2"
"DCTN4","Dynactin Subunit 4","Protein Coding","Q9UJW0","50","GC05M150708","5.68593740463257","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DCTN4"
"NGFR","Nerve Growth Factor Receptor","Protein Coding","P08138","60","GC17P049495","5.68479347229004","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NGFR"
"ABCC3","ATP Binding Cassette Subfamily C Member 3","Protein Coding","O15438","57","GC17P050634","5.68391227722168","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCC3"
"ATP6V0C","ATPase H+ Transporting V0 Subunit C","Protein Coding","P27449","56","GC16P002513","5.67682886123657","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATP6V0C"
"MYH9","Myosin Heavy Chain 9","Protein Coding","P35579","60","GC22M036281","5.67668151855469","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MYH9"
"SLC22A1","Solute Carrier Family 22 Member 1","Protein Coding","O15245","55","GC06P160121","5.6723895072937","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC22A1"
"IL13","Interleukin 13","Protein Coding","P35225","56","GC05P132656","5.6723051071167","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL13"
"ERF","ETS2 Repressor Factor","Protein Coding","P50548","52","GC19M042247","5.67044878005981","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ERF"
"MYO5B","Myosin VB","Protein Coding","Q9ULV0","54","GC18M049822","5.66766929626465","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MYO5B"
"PTGES3","Prostaglandin E Synthase 3","Protein Coding","Q15185","58","GC12M059861","5.66656398773193","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTGES3"
"KRT18","Keratin 18","Protein Coding","P05783","62","GC12P052948","5.65999317169189","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KRT18"
"ATXN2","Ataxin 2","Protein Coding","Q99700","55","GC12M111443","5.65618133544922","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATXN2"
"SDC1","Syndecan 1","Protein Coding","P18827","55","GC02M020200","5.65039825439453","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SDC1"
"COX6B2","Cytochrome C Oxidase Subunit 6B2","Protein Coding","Q6YFQ2","42","GC19M101577","5.65012264251709","https://www.genecards.org/cgi-bin/carddisp.pl?gene=COX6B2"
"SELENOP","Selenoprotein P","Protein Coding","P49908","47","GC05M042800","5.64469623565674","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SELENOP"
"CA13","Carbonic Anhydrase 13","Protein Coding","Q8N1Q1","50","GC08P085286","5.6420726776123","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CA13"
"SLC6A1","Solute Carrier Family 6 Member 1","Protein Coding","P30531","59","GC03P024227","5.63622617721558","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC6A1"
"CDK1","Cyclin Dependent Kinase 1","Protein Coding","P06493","61","GC10P060772","5.62926149368286","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDK1"
"KCNK9","Potassium Two Pore Domain Channel Subfamily K Member 9","Protein Coding","Q9NPC2","58","GC08M139585","5.62361526489258","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KCNK9"
"RIPK1","Receptor Interacting Serine/Threonine Kinase 1","Protein Coding","Q13546","63","GC06P008041","5.62167882919312","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RIPK1"
"DELEC1","Deleted In Esophageal Cancer 1","RNA Gene","Q9P2X7","34","GC09P146075","5.61968898773193","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DELEC1"
"PECAM1","Platelet And Endothelial Cell Adhesion Molecule 1","Protein Coding","P16284","53","GC17M064319","5.61134147644043","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PECAM1"
"NME1","NME/NM23 Nucleoside Diphosphate Kinase 1","Protein Coding","P15531","59","GC17P134115","5.60950756072998","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NME1"
"COL7A1","Collagen Type VII Alpha 1 Chain","Protein Coding","Q02388","56","GC03M048564","5.60476398468018","https://www.genecards.org/cgi-bin/carddisp.pl?gene=COL7A1"
"CASP7","Caspase 7","Protein Coding","P55210","62","GC10P113679","5.60395050048828","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CASP7"
"HAO1","Hydroxyacid Oxidase 1","Protein Coding","Q9UJM8","52","GC20M010170","5.60302877426147","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HAO1"
"SORL1","Sortilin Related Receptor 1","Protein Coding","Q92673","58","GC11P121452","5.60140943527222","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SORL1"
"MIR106B","MicroRNA 106b","RNA Gene","","30","GC07M106065","5.60134124755859","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR106B"
"CDKN2B-AS1","CDKN2B Antisense RNA 1","RNA Gene","","32","GC09P021994","5.5949559211731","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDKN2B-AS1"
"NGF","Nerve Growth Factor","Protein Coding","P01138","63","GC01M115285","5.59442329406738","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NGF"
"COX6C","Cytochrome C Oxidase Subunit 6C","Protein Coding","P09669","51","GC08M099899","5.59423828125","https://www.genecards.org/cgi-bin/carddisp.pl?gene=COX6C"
"PRDX5","Peroxiredoxin 5","Protein Coding","P30044","56","GC11P098849","5.58667373657227","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRDX5"
"SLC6A5","Solute Carrier Family 6 Member 5","Protein Coding","Q9Y345","58","GC11P020599","5.58207321166992","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC6A5"
"GSTK1","Glutathione S-Transferase Kappa 1","Protein Coding","Q9Y2Q3","51","GC07P161579","5.58033514022827","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GSTK1"
"NCAPH2","Non-SMC Condensin II Complex Subunit H2","Protein Coding","Q6IBW4","51","GC22P050508","5.57535314559937","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NCAPH2"
"PLA2G10","Phospholipase A2 Group X","Protein Coding","O15496","54","GC16M014672","5.57500505447388","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PLA2G10"
"JAK3","Janus Kinase 3","Protein Coding","P52333","65","GC19M017824","5.55579614639282","https://www.genecards.org/cgi-bin/carddisp.pl?gene=JAK3"
"CARD9","Caspase Recruitment Domain Family Member 9","Protein Coding","Q9H257","58","GC09M136364","5.55516338348389","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CARD9"
"ALPI","Alkaline Phosphatase, Intestinal","Protein Coding","P09923","59","GC02P232456","5.5521297454834","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ALPI"
"LALBA","Lactalbumin Alpha","Protein Coding","P00709","50","GC12M048567","5.54695606231689","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LALBA"
"HCCAT5","Hepatocellular Carcinoma Associated Transcript 5","RNA Gene","","26","GC16P073092","5.54683017730713","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HCCAT5"
"KRIT1","KRIT1 Ankyrin Repeat Containing","Protein Coding","O00522","54","GC07M092198","5.5458779335022","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KRIT1"
"SNCB","Synuclein Beta","Protein Coding","Q16143","57","GC05M176620","5.544114112854","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SNCB"
"MIR124-1","MicroRNA 124-1","RNA Gene","","29","GC08M009903","5.53920078277588","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR124-1"
"CALCR","Calcitonin Receptor","Protein Coding","P30988","61","GC07M093424","5.53385734558105","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CALCR"
"CXCL10","C-X-C Motif Chemokine Ligand 10","Protein Coding","P02778","56","GC04M076021","5.53242015838623","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CXCL10"
"YWHAZ","Tyrosine 3-Monooxygenase/Tryptophan 5-Monooxygenase Activation Protein Zeta","Protein Coding","P63104","59","GC08M100957","5.53201627731323","https://www.genecards.org/cgi-bin/carddisp.pl?gene=YWHAZ"
"PTBP1","Polypyrimidine Tract Binding Protein 1","Protein Coding","P26599","55","GC19P000797","5.53047657012939","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTBP1"
"CLEC7A","C-Type Lectin Domain Containing 7A","Protein Coding","Q9BXN2","58","GC12M033111","5.52899217605591","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CLEC7A"
"LTA4H","Leukotriene A4 Hydrolase","Protein Coding","P09960","56","GC12M096000","5.52700471878052","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LTA4H"
"COL4A3","Collagen Type IV Alpha 3 Chain","Protein Coding","Q01955","58","GC02P227164","5.52685880661011","https://www.genecards.org/cgi-bin/carddisp.pl?gene=COL4A3"
"SLC30A2","Solute Carrier Family 30 Member 2","Protein Coding","Q9BRI3","52","GC01M032186","5.52566719055176","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC30A2"
"KLK3","Kallikrein Related Peptidase 3","Protein Coding","P07288","59","GC19P050854","5.51495122909546","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KLK3"
"TOE1","Target Of EGR1, Exonuclease","Protein Coding","Q96GM8","50","GC01P062514","5.50847101211548","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TOE1"
"FGA","Fibrinogen Alpha Chain","Protein Coding","P02671","62","GC04M154583","5.50494480133057","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FGA"
"RAB5A","RAB5A, Member RAS Oncogene Family","Protein Coding","P20339","57","GC03P024432","5.50165176391602","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RAB5A"
"GPX5","Glutathione Peroxidase 5","Protein Coding","O75715","50","GC06P028525","5.4975209236145","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GPX5"
"CGA","Glycoprotein Hormones, Alpha Polypeptide","Protein Coding","P01215","57","GC06M087085","5.49613285064697","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CGA"
"HTRA1","HtrA Serine Peptidase 1","Protein Coding","Q92743","57","GC10P122463","5.49601221084595","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HTRA1"
"COX7A1","Cytochrome C Oxidase Subunit 7A1","Protein Coding","P24310","47","GC19M101848","5.49331140518188","https://www.genecards.org/cgi-bin/carddisp.pl?gene=COX7A1"
"SNTA1","Syntrophin Alpha 1","Protein Coding","Q13424","58","GC20M033407","5.49151039123535","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SNTA1"
"COPG2IT1","COPG2 Imprinted Transcript 1","RNA Gene","","18","GC07P138859","5.49057006835938","https://www.genecards.org/cgi-bin/carddisp.pl?gene=COPG2IT1"
"HPS5","HPS5 Biogenesis Of Lysosomal Organelles Complex 2 Subunit 2","Protein Coding","Q9UPZ3","51","GC11M018278","5.48342132568359","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HPS5"
"NDUFA5","NADH:Ubiquinone Oxidoreductase Subunit A5","Protein Coding","Q16718","52","GC07M123536","5.47219848632813","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NDUFA5"
"FKBP4","FKBP Prolyl Isomerase 4","Protein Coding","Q02790","57","GC12P046647","5.47068119049072","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FKBP4"
"RAG2","Recombination Activating 2","Protein Coding","P55895","52","GC11M036575","5.46498203277588","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RAG2"
"CSF2","Colony Stimulating Factor 2","Protein Coding","P04141","58","GC05P132073","5.463782787323","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CSF2"
"COX8C","Cytochrome C Oxidase Subunit 8C","Protein Coding","Q7Z4L0","41","GC14P093943","5.46232128143311","https://www.genecards.org/cgi-bin/carddisp.pl?gene=COX8C"
"ENO2","Enolase 2","Protein Coding","P09104","60","GC12P006913","5.45491790771484","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ENO2"
"CLTC","Clathrin Heavy Chain","Protein Coding","Q00610","59","GC17P059619","5.4522533416748","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CLTC"
"CD68","CD68 Molecule","Protein Coding","P34810","52","GC17P007579","5.44454145431519","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD68"
"NOS1AP","Nitric Oxide Synthase 1 Adaptor Protein","Protein Coding","O75052","50","GC01P162069","5.44179964065552","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NOS1AP"
"IL1R1","Interleukin 1 Receptor Type 1","Protein Coding","P14778","59","GC02P102136","5.43907165527344","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL1R1"
"GUK1","Guanylate Kinase 1","Protein Coding","Q16774","52","GC01P228139","5.42432117462158","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GUK1"
"H4C16","H4 Histone 16","Protein Coding","P62805","47","GC12M033519","5.41632080078125","https://www.genecards.org/cgi-bin/carddisp.pl?gene=H4C16"
"HBEGF","Heparin Binding EGF Like Growth Factor","Protein Coding","Q99075","57","GC05M140332","5.40232706069946","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HBEGF"
"CHUK","Component Of Inhibitor Of Nuclear Factor Kappa B Kinase Complex","Protein Coding","O15111","63","GC10M100501","5.40171527862549","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CHUK"
"MIRLET7B","MicroRNA Let-7b","RNA Gene","","29","GC22P081742","5.39872169494629","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIRLET7B"
"NDP","Norrin Cystine Knot Growth Factor NDP","Protein Coding","Q00604","54","GC0XM043948","5.39334583282471","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NDP"
"AKAP9","A-Kinase Anchoring Protein 9","Protein Coding","Q99996","53","GC07P091940","5.38533544540405","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AKAP9"
"DCTN1","Dynactin Subunit 1","Protein Coding","Q14203","59","GC02M074361","5.38453578948975","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DCTN1"
"GPX6","Glutathione Peroxidase 6","Protein Coding","P59796","46","GC06M028503","5.38315153121948","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GPX6"
"RAB3GAP1","RAB3 GTPase Activating Protein Catalytic Subunit 1","Protein Coding","Q15042","52","GC02P135052","5.3817343711853","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RAB3GAP1"
"CYBRD1","Cytochrome B Reductase 1","Protein Coding","Q53TN4","51","GC02P171522","5.38136577606201","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYBRD1"
"SMOX","Spermine Oxidase","Protein Coding","Q9NWM0","49","GC20P004120","5.38018751144409","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SMOX"
"HNRNPC","Heterogeneous Nuclear Ribonucleoprotein C","Protein Coding","P07910","55","GC14M027828","5.37892389297485","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HNRNPC"
"UFD1","Ubiquitin Recognition Factor In ER Associated Degradation 1","Protein Coding","Q92890","56","GC22M020427","5.37859106063843","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UFD1"
"SLC2A10","Solute Carrier Family 2 Member 10","Protein Coding","O95528","54","GC20P046737","5.37223386764526","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC2A10"
"PI4K2A","Phosphatidylinositol 4-Kinase Type 2 Alpha","Protein Coding","Q9BTU6","56","GC10P097640","5.36386060714722","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PI4K2A"
"DCN","Decorin","Protein Coding","P07585","59","GC12M091140","5.35881996154785","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DCN"
"RAB18","RAB18, Member RAS Oncogene Family","Protein Coding","Q9NP72","50","GC10P027504","5.35463523864746","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RAB18"
"GYG2","Glycogenin 2","Protein Coding","O15488","51","GC0XP002828","5.35002565383911","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GYG2"
"BLZF1","Basic Leucine Zipper Nuclear Factor 1","Protein Coding","Q9H2G9","48","GC01P169367","5.34447956085205","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BLZF1"
"FTSJ1","FtsJ RNA 2'-O-Methyltransferase 1","Protein Coding","Q9UET6","54","GC0XP048476","5.34146690368652","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FTSJ1"
"OPRM1","Opioid Receptor Mu 1","Protein Coding","P35372","61","GC06P163868","5.33681201934814","https://www.genecards.org/cgi-bin/carddisp.pl?gene=OPRM1"
"MIR26B","MicroRNA 26b","RNA Gene","","31","GC02P218402","5.33160495758057","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR26B"
"SERPINA3","Serpin Family A Member 3","Protein Coding","P01011","56","GC14P094612","5.32373762130737","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SERPINA3"
"BAG3","BAG Cochaperone 3","Protein Coding","O95817","55","GC10P119651","5.32015371322632","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BAG3"
"COL4A5","Collagen Type IV Alpha 5 Chain","Protein Coding","P29400","56","GC0XP108439","5.31550312042236","https://www.genecards.org/cgi-bin/carddisp.pl?gene=COL4A5"
"ADH6","Alcohol Dehydrogenase 6 (Class V)","Protein Coding","P28332","52","GC04M099202","5.31499147415161","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADH6"
"VTRNA1-1","Vault RNA 1-1","RNA Gene","","18","GC05P156893","5.30877208709717","https://www.genecards.org/cgi-bin/carddisp.pl?gene=VTRNA1-1"
"KCNJ6","Potassium Inwardly Rectifying Channel Subfamily J Member 6","Protein Coding","P48051","59","GC21M037607","5.3080096244812","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KCNJ6"
"RACK1","Receptor For Activated C Kinase 1","Protein Coding","P63244","56","GC05M182869","5.30492639541626","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RACK1"
"SLC39A5","Solute Carrier Family 39 Member 5","Protein Coding","Q6ZMH5","51","GC12P065384","5.30154180526733","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC39A5"
"HMOX2","Heme Oxygenase 2","Protein Coding","P30519","58","GC16P004474","5.29934406280518","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HMOX2"
"SLPI","Secretory Leukocyte Peptidase Inhibitor","Protein Coding","P03973","52","GC20M045252","5.28863143920898","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLPI"
"STEAP2","STEAP2 Metalloreductase","Protein Coding","Q8NFT2","51","GC07P090167","5.28577470779419","https://www.genecards.org/cgi-bin/carddisp.pl?gene=STEAP2"
"HNRNPH1","Heterogeneous Nuclear Ribonucleoprotein H1","Protein Coding","P31943","54","GC05M179614","5.26198720932007","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HNRNPH1"
"CEP104","Centrosomal Protein 104","Protein Coding","O60308","50","GC01M003812","5.25884246826172","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CEP104"
"F12","Coagulation Factor XII","Protein Coding","P00748","61","GC05M177402","5.25210189819336","https://www.genecards.org/cgi-bin/carddisp.pl?gene=F12"
"S100A8","S100 Calcium Binding Protein A8","Protein Coding","P05109","54","GC01M165010","5.24978113174438","https://www.genecards.org/cgi-bin/carddisp.pl?gene=S100A8"
"TNFRSF1B","TNF Receptor Superfamily Member 1B","Protein Coding","P20333","61","GC01P060401","5.24937105178833","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNFRSF1B"
"VCL","Vinculin","Protein Coding","P18206","60","GC10P073995","5.24278354644775","https://www.genecards.org/cgi-bin/carddisp.pl?gene=VCL"
"CCNA2","Cyclin A2","Protein Coding","P20248","58","GC04M121816","5.24161529541016","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCNA2"
"MIR30B","MicroRNA 30b","RNA Gene","","30","GC08M134800","5.23963451385498","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR30B"
"YWHAQ","Tyrosine 3-Monooxygenase/Tryptophan 5-Monooxygenase Activation Protein Theta","Protein Coding","P27348","59","GC02M009583","5.23949098587036","https://www.genecards.org/cgi-bin/carddisp.pl?gene=YWHAQ"
"IDI1","Isopentenyl-Diphosphate Delta Isomerase 1","Protein Coding","Q13907","53","GC10M001039","5.23934555053711","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IDI1"
"HTR3A","5-Hydroxytryptamine Receptor 3A","Protein Coding","P46098","58","GC11P113975","5.23485851287842","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HTR3A"
"BCL2L1","BCL2 Like 1","Protein Coding","Q07817","62","GC20M031664","5.23474025726318","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BCL2L1"
"RORC","RAR Related Orphan Receptor C","Protein Coding","P51449","55","GC01M151806","5.23183441162109","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RORC"
"OXT","Oxytocin/Neurophysin I Prepropeptide","Protein Coding","P01178","50","GC20P009536","5.23161554336548","https://www.genecards.org/cgi-bin/carddisp.pl?gene=OXT"
"CASQ2","Calsequestrin 2","Protein Coding","O14958","56","GC01M115700","5.22622442245483","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CASQ2"
"CUL7","Cullin 7","Protein Coding","Q14999","52","GC06M043037","5.21990585327148","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CUL7"
